City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Abu Kamal,SY,34.45,40.92,75.2,22,100,4.65,overcast clouds
161,Guilin,CN,25.28,110.29,66.2,63,90,15.66,overcast clouds
162,Mehtar Lam,AF,34.67,70.21,70.0,65,0,3.42,clear sky
163,Hobart,AU,-42.88,147.33,77.0,53,0,9.17,clear sky
164,Gasa,PS,31.5,34.47,73.99,69,20,1.12,few clouds
165,Dikson,RU,73.51,80.55,16.32,97,99,7.72,overcast clouds
166,Anchorage,US,61.22,-149.9,19.99,41,1,21.34,clear sky
167,Vrnograc,BA,45.16,15.95,46.4,100,90,3.36,fog
168,Hokitika,NZ,-42.72,170.97,54.86,84,100,2.95,overcast clouds
169,Bengkulu,ID,-3.8,102.27,83.35,72,99,5.93,light rain
170,Bilma,NE,18.69,12.92,71.65,28,0,10.36,clear sky
171,Panlaitan,PH,12.12,119.85,84.15,74,44,14.85,scattered clouds
172,Road Town,VG,18.42,-64.62,80.6,83,75,17.22,broken clouds
173,Sao Filipe,CV,14.9,-24.5,77.72,78,26,3.29,scattered clouds
174,Guerrero Negro,MX,27.98,-114.06,68.43,76,0,9.8,clear sky
175,Bluff,NZ,-46.6,168.33,54.0,68,20,7.0,few clouds
176,Castro,BR,-24.79,-50.01,51.1,87,95,7.87,overcast clouds
177,Oksfjord,NO,70.24,22.35,42.8,75,75,39.15,broken clouds
178,Zalantun,CN,48.0,122.72,24.51,77,100,21.36,overcast clouds
179,Sao Felix Do Xingu,BR,-6.64,-51.99,72.27,96,100,2.04,light rain
180,Berlevag,NO,70.86,29.09,42.8,75,40,16.11,scattered clouds
181,Djambala,CG,-2.54,14.75,70.36,95,100,1.59,moderate rain
182,Saint-Philippe,RE,-21.36,55.77,78.8,47,0,10.29,clear sky
183,Kavieng,PG,-2.57,150.8,85.75,65,34,1.72,scattered clouds
184,Upington,ZA,-28.45,21.26,75.2,38,0,12.75,clear sky
185,Belaya Gora,RU,68.53,146.42,-7.1,86,74,9.48,broken clouds
186,Pangnirtung,CA,66.15,-65.71,6.84,80,40,6.17,scattered clouds
187,Leh,IN,34.17,77.58,36.81,55,0,2.73,clear sky
188,Gizo,SB,-8.1,156.84,85.21,69,94,1.81,light rain
189,Upernavik,GL,72.79,-56.15,17.2,92,100,3.15,overcast clouds
190,Husavik,IS,66.04,-17.34,39.2,48,40,17.22,scattered clouds
191,Cherskiy,RU,68.75,161.3,1.96,92,97,6.51,overcast clouds
192,Samarai,PG,-10.62,150.67,83.1,80,50,11.36,scattered clouds
193,Sulphur,US,30.24,-93.38,59.0,54,1,8.05,clear sky
194,Liwale,TZ,-9.77,37.93,84.09,43,43,5.39,scattered clouds
195,Tuktoyaktuk,CA,69.45,-133.04,10.4,72,90,14.99,light snow
196,Elizabeth City,US,36.29,-76.25,53.6,54,20,17.22,few clouds
197,Hobyo,SO,5.35,48.53,83.3,69,39,11.32,light rain
198,Shchebetovka,UA,44.93,35.15,53.49,71,43,4.85,scattered clouds
199,Weiser,US,44.25,-116.97,39.0,59,1,5.82,clear sky
200,Spornoye,RU,50.84,37.29,50.0,100,90,8.95,light rain
201,Bulawayo,ZW,-20.15,28.58,75.49,43,98,8.84,overcast clouds
202,Valdez,EC,1.25,-78.98,77.36,85,100,10.69,overcast clouds
203,Codrington,AU,-38.27,141.97,74.07,74,65,9.55,broken clouds
204,Pacific Grove,US,36.62,-121.92,53.6,93,40,3.36,scattered clouds
205,Bambous Virieux,MU,-20.34,57.76,77.0,53,75,9.17,broken clouds
206,Emirdag,TR,39.02,31.15,37.4,58,0,3.36,clear sky
207,Isangel,VU,-19.55,169.27,82.4,74,90,9.84,overcast clouds
208,Poum,NC,-20.23,164.02,78.3,72,100,8.3,overcast clouds
209,Port Macquarie,AU,-31.43,152.92,73.0,55,72,1.99,broken clouds
210,Bayir,TR,37.27,28.22,55.4,66,0,2.24,clear sky
211,Hienghene,NC,-20.68,164.93,76.53,78,100,7.54,overcast clouds
212,Dingle,PH,11.0,122.67,83.7,77,98,12.97,overcast clouds
213,Leshukonskoye,RU,64.9,45.76,32.05,96,100,7.11,overcast clouds
214,Omsukchan,RU,62.53,155.8,19.17,95,100,6.4,light snow
215,Vardo,NO,70.37,31.11,42.8,81,40,13.87,scattered clouds
216,Camanducaia,BR,-22.76,-46.14,46.6,91,23,3.2,few clouds
217,Gamba,GA,-2.65,10.0,78.19,86,100,2.82,light rain
218,Jutai,BR,-5.18,-68.9,70.79,95,99,1.72,overcast clouds
219,Kirakira,SB,-10.45,161.92,78.51,87,100,6.51,moderate rain
220,Grand-Santi,GF,4.25,-54.38,72.75,97,75,1.5,broken clouds
221,Vallenar,CL,-28.57,-70.76,52.92,63,0,0.67,clear sky
222,Qinzhou,CN,21.95,108.62,74.07,67,86,17.31,overcast clouds
223,Belyy Yar,RU,53.6,91.39,39.2,64,0,4.47,clear sky
224,Port Augusta,AU,-32.5,137.77,89.6,21,6,10.29,clear sky
225,Port-Cartier,CA,50.03,-66.87,37.4,100,90,5.82,overcast clouds
226,Debre Tabor,ET,11.85,38.02,63.09,48,0,2.35,clear sky
227,Great Yarmouth,GB,52.61,1.73,63.0,97,100,5.01,overcast clouds
228,Garowe,SO,8.41,48.48,82.78,38,0,9.8,clear sky
229,Port Shepstone,ZA,-30.74,30.45,65.5,88,100,12.41,light rain
230,Baruun-Urt,MN,46.68,113.28,23.29,67,0,12.93,clear sky
231,Yafran,LY,32.06,12.53,58.14,70,0,5.23,clear sky
232,Leningradskiy,RU,69.38,178.42,16.27,84,88,5.7,overcast clouds
233,Pulivendla,IN,14.42,78.23,87.8,62,0,5.82,haze
234,Riverton,US,40.52,-111.94,44.6,52,1,6.93,clear sky
235,Ayan,RU,56.45,138.17,26.47,98,100,21.3,snow
236,Ternate,ID,0.8,127.4,83.5,73,100,5.59,heavy intensity rain
